ID,missing_title,missing_year,missing_abstract
10.1145/3568812.3603469,0,0,1
10.1145/3670740,0,0,1
10.1145/3702212,0,0,1
10.1145/3704289,0,0,1
10.1145/3711403,0,0,1
10.1145/3711670.3764612,0,0,1
10.1145/3723420,0,0,1
10.1145/3721242.3734012,0,0,1
10.1145/3686703,0,0,1
10.1145/3735631,0,0,1
10.1145/3660605,0,0,1
10.1145/3676149,0,0,1
10.1145/3641237.3691660,0,0,1
10.1145/3644476,0,0,1
10.1145/3708597,0,0,1
10.1145/3661314,0,0,1
10.1145/3653682,0,0,1
10.1145/3700297,0,0,1
10.1145/3691720,0,0,1
10.1145/3589154,0,0,1
10.1145/3721241,0,0,1
10.1145/3674127.3702960,0,0,1
10.1145/3678726,0,0,1
10.1145/3726010,0,0,1
10.1145/3702386,0,0,1
10.1145/3696500,0,0,1
10.1145/3689535,0,0,1
10.1145/3722237,0,0,1
10.1145/3759275,0,0,1
10.1145/3724504,0,0,1
10.1145/3702653,0,0,1
10.1145/3708036,0,0,1
10.1145/3686852,0,0,1
10.1145/3678429,0,0,1
10.1145/3675812,0,0,1
10.1145/3757749,0,0,1
10.1145/3723890,0,0,1
10.1145/3711670,0,0,1
10.1145/3746175,0,0,1
10.1145/3704217,0,0,1
10.1145/3633083,0,0,1
10.1145/3660043,0,0,1
10.1145/3721242,0,0,1
10.1145/3729605,0,0,1
10.1145/3732801,0,0,1
10.1145/3712716,0,0,1
10.1145/3641237,0,0,1
10.1145/3736539,0,0,1
10.1145/3641032,0,0,1
10.1145/3657054,0,0,1
10.1145/3680533,0,0,1
10.1145/3690712,0,0,1
10.1145/3691016,0,0,1
10.1145/3748825,0,0,1
10.1145/3729434,0,0,1
10.1145/3686081,0,0,1
10.1145/3706370,0,0,1
10.1145/3749012,0,0,1
10.1145/3637907,0,0,1
10.1145/3745676,0,0,1
10.1145/3639856,0,0,1
10.1145/3711919,0,0,1
10.1145/3678610,0,0,1
10.1145/3708394,0,0,1
10.1145/3715070,0,0,1
10.1145/3663433,0,0,1
10.1145/3649411,0,0,1
10.1145/3636555,0,0,1
10.1145/3641234,0,0,1
10.1145/3568812,0,0,1
10.1145/3658271,0,0,1
10.1145/3661167,0,0,1
10.1145/3719236,0,0,1
10.1145/3671151,0,0,1
10.1145/3704611,0,0,1
10.1145/3579168,0,0,1
10.1145/3605468,0,0,1
10.1145/3637989,0,0,1
10.1145/3612783,0,0,1
10.1145/3629606,0,0,1
10.1145/3605390,0,0,1
10.1145/3660515,0,0,1
10.1145/3696952,0,0,1
10.1145/3715669,0,0,1
10.1145/3674399,0,0,1
10.1145/3678698,0,0,1
10.1145/3736426,0,0,1
10.1145/3677045,0,0,1
10.1145/3685650,0,0,1
10.1145/3729706,0,0,1
10.1145/3732299,0,0,1
10.1145/3746709,0,0,1
10.1145/3702163,0,0,1
10.1145/3658619,0,0,1
10.1145/3664934,0,0,1
10.1145/3717383,0,0,1
10.1145/3744736,0,0,1
10.1145/3715336,0,0,1
10.1145/3675888,0,0,1
10.1145/3641308,0,0,1
10.1145/3714334,0,0,1
10.1145/3677892,0,0,1
10.1145/3616961,0,0,1
10.1145/3680127,0,0,1
10.1145/3705618,0,0,1
10.1145/3641399,0,0,1
10.1145/3641525,0,0,1
10.1145/3731763,0,0,1
10.1145/3597638,0,0,1
10.1145/3702138,0,0,1
10.1145/3701625,0,0,1
10.1145/3587421,0,0,1
10.1145/3717867,0,0,1
10.1145/3688268,0,0,1
10.1145/3652988,0,0,1
10.1145/3647444,0,0,1
10.1145/3687488,0,0,1
10.1145/3640544,0,0,1
10.1145/3640544,0,0,1
10.1145/3663547,0,0,1
10.1145/3759928,0,0,1
10.1145/3720553,0,0,1
10.1145/3627915,0,0,1
10.1145/3704268,0,0,1
10.1145/3686424,0,0,1
10.1145/3670653,0,0,1
10.1145/3719160,0,0,1
10.1145/3733006,0,0,1
10.1145/3626203,0,0,1
10.1145/3642970,0,0,1
10.1145/3675669,0,0,1
10.1145/3718491,0,0,1
10.1145/3631700,0,0,1
10.1145/3709026,0,0,1
10.1145/3581961,0,0,1
10.1145/3702652,0,0,1
10.1145/3597503,0,0,1
10.1145/3664191,0,0,1
10.1145/3573382,0,0,1
10.1145/3723010,0,0,1
10.1145/3746972,0,0,1
10.1145/3655497,0,0,1
10.1145/3719276,0,0,1
10.1145/3640794,0,0,1
10.1145/3708035,0,0,1
10.1145/3617072,0,0,1
10.1145/3744915,0,0,1
10.1145/3614419,0,0,1
10.1145/3716553,0,0,1
10.1145/3681756,0,0,1
10.1145/3665463,0,0,1
10.1145/3767052,0,0,1
10.1145/3625704,0,0,1
10.1145/3747912,0,0,1
10.1145/3736731,0,0,1
10.1145/3711129,0,0,1
10.1145/3749566,0,0,1
10.1145/3644713,0,0,1
10.1145/3678232,0,0,1
10.1145/3749566,0,0,1
10.1145/3678232,0,0,1
10.1145/3585059,0,0,1
10.1145/3591196,0,0,1
10.1145/3701571,0,0,1
10.1145/3565066,0,0,1
10.1145/3715928,0,0,1
10.1145/3745133,0,0,1
10.1145/3673805,0,0,1
10.1145/3702038,0,0,1
10.1145/3581754,0,0,1
10.1145/3715275,0,0,1
10.1145/3708359,0,0,1
10.1145/3673971,0,0,1
10.1145/3695794,0,0,1
10.1145/3750069,0,0,1
10.1145/3641825,0,0,1
10.1145/3670474,0,0,1
10.1145/3723178,0,0,1
10.1145/3686038,0,0,1
10.1145/3630106,0,0,1
10.1145/3635636,0,0,1
10.1145/3702879,0,0,1
10.1145/3652037,0,0,1
10.1145/3743049,0,0,1
10.1145/3631991,0,0,1
10.1145/3628096,0,0,1
10.1145/3632776,0,0,1
10.1145/3758871,0,0,1
10.1145/3632775,0,0,1
10.1145/3703323,0,0,1
10.1145/3727353,0,0,1
10.1145/3746058,0,0,1
10.1145/3711542,0,0,1
10.1145/3600211,0,0,1
