palabra,frecuencia_total,documentos,porcentaje_docs
system,481,216,25.087108013937282
analysis,422,313,36.35307781649245
approach,358,254,29.500580720092916
performance,266,160,18.583042973286876
time,224,155,18.00232288037166
efficiency,173,136,15.795586527293844
algorithm,151,100,11.614401858304298
solution,136,104,12.07897793263647
implementation,134,115,13.356562137049943
optimization,116,63,7.317073170731707
problem,105,70,8.130081300813007
cost,96,71,8.246225319396052
complexity,56,59,6.852497096399536
computation,12,7,0.8130081300813009
method,0,0,0.0
